Dates,Headlines,Links
"Mon, 17 Apr 2017 09:11:57 GMT",U.S. defense stocks easily outperform the broader market,http://www.marketwatch.com/News/Story/Story.aspx?guid=932DEA82-2082-11E7-B84D-D6BABCE7778B&siteid=yhoof2&yptr=yahoo
"Mon, 17 Apr 2017 04:15:00 GMT",Trump's New Presidential Limousine Deserves Its Beast Title,http://www.thestreet.com/video/14080961/trump-s-new-presidential-limousine-deserves-its-beast-title.html?puc=yahoov&cm_ven=YAHOOV&yptr=yahoo
