Dates,Headlines,Links
"Mon, 17 Apr 2017 11:41:17 GMT",Independent bank analyst Mike Mayo reveals his top pick,http://www.cnbc.com/id/104403889?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&par=yahoo&doc=104403889&yptr=yahoo
"Mon, 17 Apr 2017 11:30:00 GMT",Today's Research Reports on Citigroup and Wells Fargo as Banks Kick off Earnings Season,http://finance.yahoo.com/news/todays-research-reports-citigroup-wells-113000869.html?.tsrc=rss
"Mon, 17 Apr 2017 11:17:06 GMT",Citigroup Said to Name Carmen Haddad as Head for Saudi Arabia,https://www.bloomberg.com/news/articles/2017-04-17/citigroup-said-to-name-carmen-haddad-as-head-for-saudi-arabia-j1m0ztor?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo
"Mon, 17 Apr 2017 10:00:00 GMT","Banks Say ""Too Big"" Is Best Amid Cries for Breakup",http://www.investopedia.com/news/banks-say-too-big-best-amid-cries-breakup-bac-jpm/?partner=YahooSA&yptr=yahoo
