Dates,Headlines,Links
"Mon, 17 Apr 2017 11:36:13 GMT",Verizon’s 5G Segment: Progress Continues,http://marketrealist.com/2017/04/verizons-5g-segment-progress-continues/?utm_source=yahoo&utm_medium=feed&yptr=yahoo
"Mon, 17 Apr 2017 09:08:31 GMT",[$$] Price war expected to hit Verizon and AT&T profits,"http://www.ft.com/cms/s/e392b30e-205f-11e7-a454-ab04428977f9,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev&yptr=yahoo"
